* min_df= 2 , max_df= 0.05, alpha= 0.09, accuracy_train=0.9427519675044428, accuracy_val=0.898743814236772 
* min_df= 2 , max_df= 0.1, alpha= 0.01, accuracy_train=0.9541761868494542, accuracy_val=0.899885801294252 
* min_df= 2 , max_df= 0.1, alpha= 0.02, accuracy_train=0.9504950495049505, accuracy_val=0.9002664636467453 
* min_df= 2 , max_df= 0.1, alpha= 0.03, accuracy_train=0.947998646018448, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.1, alpha= 0.04, accuracy_train=0.9460946094609461, accuracy_val=0.898743814236772 
* min_df= 2 , max_df= 0.1, alpha= 0.05, accuracy_train=0.9446560040619446, accuracy_val=0.9014084507042254 
* min_df= 2 , max_df= 0.1, alpha= 0.06, accuracy_train=0.9427096555809427, accuracy_val=0.9029311001141987 
* min_df= 2 , max_df= 0.1, alpha= 0.07, accuracy_train=0.9413556740289414, accuracy_val=0.9021697754092121 
* min_df= 2 , max_df= 0.1, alpha= 0.08, accuracy_train=0.9400863163239401, accuracy_val=0.901027788351732 
* min_df= 2 , max_df= 0.1, alpha= 0.09, accuracy_train=0.9389015824659389, accuracy_val=0.9017891130567187 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.01, accuracy_train=0.9535415079969536, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.02, accuracy_train=0.9494372514174494, accuracy_val=0.9006471259992387 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.03, accuracy_train=0.9473639671659474, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.04, accuracy_train=0.9450791232969451, accuracy_val=0.899885801294252 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.05, accuracy_train=0.9435135821274435, accuracy_val=0.901027788351732 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.06, accuracy_train=0.9417364813404417, accuracy_val=0.9025504377617054 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.07, accuracy_train=0.9407633070999407, accuracy_val=0.9006471259992387 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.08, accuracy_train=0.9389438943894389, accuracy_val=0.9006471259992387 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.09, accuracy_train=0.9383515274604384, accuracy_val=0.9006471259992387 
* min_df= 2 , max_df= 0.2, alpha= 0.01, accuracy_train=0.9526952695269527, accuracy_val=0.8979824895317853 
* min_df= 2 , max_df= 0.2, alpha= 0.02, accuracy_train=0.9486756367944487, accuracy_val=0.8979824895317853 
* min_df= 2 , max_df= 0.2, alpha= 0.03, accuracy_train=0.946009985613946, accuracy_val=0.8979824895317853 
* min_df= 2 , max_df= 0.2, alpha= 0.04, accuracy_train=0.9432597105864433, accuracy_val=0.8991244765892653 
