* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.01, accuracy_train=0.9535415079969536, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.02, accuracy_train=0.9494372514174494, accuracy_val=0.9006471259992387 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.03, accuracy_train=0.9473639671659474, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.04, accuracy_train=0.9450791232969451, accuracy_val=0.899885801294252 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.05, accuracy_train=0.9435135821274435, accuracy_val=0.901027788351732 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.06, accuracy_train=0.9417364813404417, accuracy_val=0.9025504377617054 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.07, accuracy_train=0.9407633070999407, accuracy_val=0.9006471259992387 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.08, accuracy_train=0.9389438943894389, accuracy_val=0.9006471259992387 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.09, accuracy_train=0.9383515274604384, accuracy_val=0.9006471259992387 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.1, accuracy_train=0.9373360412964373, accuracy_val=0.9006471259992387 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.11, accuracy_train=0.9363205551324363, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.12, accuracy_train=0.9352627570449352, accuracy_val=0.8983631518842786 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.13, accuracy_train=0.9345857662689346, accuracy_val=0.8991244765892653 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.14, accuracy_train=0.9336549039519336, accuracy_val=0.8979824895317853 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.15, accuracy_train=0.9325971058644326, accuracy_val=0.8972211648267986 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.16, accuracy_train=0.932047050858932, accuracy_val=0.8976018271792919 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.17, accuracy_train=0.9312854362359313, accuracy_val=0.8964598401218119 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.18, accuracy_train=0.9305661335364306, accuracy_val=0.8956985154168253 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.19, accuracy_train=0.9301007023779301, accuracy_val=0.8964598401218119 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.2, accuracy_train=0.9298468308369299, accuracy_val=0.8964598401218119 
* min_df= 2 , max_df= 0.2, alpha= 0.01, accuracy_train=0.9526952695269527, accuracy_val=0.8979824895317853 
* min_df= 2 , max_df= 0.2, alpha= 0.02, accuracy_train=0.9486756367944487, accuracy_val=0.8979824895317853 
* min_df= 2 , max_df= 0.2, alpha= 0.03, accuracy_train=0.946009985613946, accuracy_val=0.8979824895317853 
* min_df= 2 , max_df= 0.2, alpha= 0.04, accuracy_train=0.9432597105864433, accuracy_val=0.8991244765892653 
* min_df= 2 , max_df= 0.2, alpha= 0.05, accuracy_train=0.9415249217229416, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.2, alpha= 0.06, accuracy_train=0.9402978759414403, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.2, alpha= 0.07, accuracy_train=0.9393670136244394, accuracy_val=0.8983631518842786 
* min_df= 2 , max_df= 0.2, alpha= 0.08, accuracy_train=0.9383092155369384, accuracy_val=0.8976018271792919 
* min_df= 2 , max_df= 0.2, alpha= 0.09, accuracy_train=0.9372937293729373, accuracy_val=0.8972211648267986 
* min_df= 2 , max_df= 0.2, alpha= 0.1, accuracy_train=0.9364051789794364, accuracy_val=0.8964598401218119 
* min_df= 2 , max_df= 0.2, alpha= 0.11, accuracy_train=0.9353473808919354, accuracy_val=0.8968405024743052 
* min_df= 2 , max_df= 0.2, alpha= 0.12, accuracy_train=0.9342895828044343, accuracy_val=0.895317853064332 
* min_df= 2 , max_df= 0.2, alpha= 0.13, accuracy_train=0.9334433443344334, accuracy_val=0.8937952036543586 
* min_df= 2 , max_df= 0.2, alpha= 0.14, accuracy_train=0.9324278581704324, accuracy_val=0.8934145413018653 
* min_df= 2 , max_df= 0.2, alpha= 0.15, accuracy_train=0.9316662435474317, accuracy_val=0.8934145413018653 
* min_df= 2 , max_df= 0.2, alpha= 0.16, accuracy_train=0.930989252771431, accuracy_val=0.8930338789493719 
* min_df= 2 , max_df= 0.2, alpha= 0.17, accuracy_train=0.93001607853093, accuracy_val=0.8926532165968786 
* min_df= 2 , max_df= 0.2, alpha= 0.18, accuracy_train=0.9295506473724295, accuracy_val=0.8926532165968786 
* min_df= 2 , max_df= 0.2, alpha= 0.19, accuracy_train=0.928958280443429, accuracy_val=0.8930338789493719 
* min_df= 2 , max_df= 0.2, alpha= 0.2, accuracy_train=0.9282389777439283, accuracy_val=0.8934145413018653 
* min_df= 2 , max_df= 0.25, alpha= 0.01, accuracy_train=0.9521875264449522, accuracy_val=0.8991244765892653 
* min_df= 2 , max_df= 0.25, alpha= 0.02, accuracy_train=0.9482948294829483, accuracy_val=0.8991244765892653 
* min_df= 2 , max_df= 0.25, alpha= 0.03, accuracy_train=0.9454599306084455, accuracy_val=0.8991244765892653 
* min_df= 2 , max_df= 0.25, alpha= 0.04, accuracy_train=0.942963527121943, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.25, alpha= 0.05, accuracy_train=0.9412287382584412, accuracy_val=0.9006471259992387 
* min_df= 2 , max_df= 0.25, alpha= 0.06, accuracy_train=0.9398324447829398, accuracy_val=0.9014084507042254 
* min_df= 2 , max_df= 0.25, alpha= 0.07, accuracy_train=0.9384361513074384, accuracy_val=0.9002664636467453 
* min_df= 2 , max_df= 0.25, alpha= 0.08, accuracy_train=0.9373783532199373, accuracy_val=0.9002664636467453 
* min_df= 2 , max_df= 0.25, alpha= 0.09, accuracy_train=0.9367436743674368, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.25, alpha= 0.1, accuracy_train=0.9358974358974359, accuracy_val=0.8983631518842786 
* min_df= 2 , max_df= 0.25, alpha= 0.11, accuracy_train=0.9348396378099348, accuracy_val=0.8979824895317853 
* min_df= 2 , max_df= 0.25, alpha= 0.12, accuracy_train=0.934035711263434, accuracy_val=0.8976018271792919 
* min_df= 2 , max_df= 0.25, alpha= 0.13, accuracy_train=0.9328086654819329, accuracy_val=0.8972211648267986 
* min_df= 2 , max_df= 0.25, alpha= 0.14, accuracy_train=0.932004738935432, accuracy_val=0.8968405024743052 
* min_df= 2 , max_df= 0.25, alpha= 0.15, accuracy_train=0.9314546839299315, accuracy_val=0.8968405024743052 
* min_df= 2 , max_df= 0.25, alpha= 0.16, accuracy_train=0.9306930693069307, accuracy_val=0.8956985154168253 
* min_df= 2 , max_df= 0.25, alpha= 0.17, accuracy_train=0.9297198950664297, accuracy_val=0.8949371907118386 
* min_df= 2 , max_df= 0.25, alpha= 0.18, accuracy_train=0.9292967758314293, accuracy_val=0.8945565283593453 
* min_df= 2 , max_df= 0.25, alpha= 0.19, accuracy_train=0.9285351612084285, accuracy_val=0.8937952036543586 
* min_df= 2 , max_df= 0.25, alpha= 0.2, accuracy_train=0.9280697300499281, accuracy_val=0.8934145413018653 
