* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.01, accuracy_train=0.9546839299314547, accuracy_val=0.9006471259992387 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.02, accuracy_train=0.9491833798764492, accuracy_val=0.9033117624666921 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.03, accuracy_train=0.945925361766946, accuracy_val=0.904453749524172 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.04, accuracy_train=0.9439367013624439, accuracy_val=0.9036924248191854 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.05, accuracy_train=0.9420326648049421, accuracy_val=0.9036924248191854 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.06, accuracy_train=0.9405517474824405, accuracy_val=0.9036924248191854 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.07, accuracy_train=0.9386477109249386, accuracy_val=0.9040730871716787 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.08, accuracy_train=0.9372514174494373, accuracy_val=0.9036924248191854 
* min_df= 2 , max_df= 0.15000000000000002, alpha= 0.09, accuracy_train=0.9361513074384361, accuracy_val=0.9040730871716787 
* min_df= 2 , max_df= 0.2, alpha= 0.01, accuracy_train=0.9534568841499534, accuracy_val=0.8991244765892653 
* min_df= 2 , max_df= 0.2, alpha= 0.02, accuracy_train=0.9479140221714479, accuracy_val=0.901027788351732 
* min_df= 2 , max_df= 0.2, alpha= 0.03, accuracy_train=0.944994499449945, accuracy_val=0.9017891130567187 
* min_df= 2 , max_df= 0.2, alpha= 0.04, accuracy_train=0.9427942794279428, accuracy_val=0.9014084507042254 
* min_df= 2 , max_df= 0.2, alpha= 0.05, accuracy_train=0.9404248117119405, accuracy_val=0.9006471259992387 
* min_df= 2 , max_df= 0.2, alpha= 0.06, accuracy_train=0.9387746466954388, accuracy_val=0.901027788351732 
* min_df= 2 , max_df= 0.2, alpha= 0.07, accuracy_train=0.937039857831937, accuracy_val=0.9014084507042254 
* min_df= 2 , max_df= 0.2, alpha= 0.08, accuracy_train=0.9359397478209359, accuracy_val=0.9014084507042254 
* min_df= 2 , max_df= 0.2, alpha= 0.09, accuracy_train=0.9346280781924347, accuracy_val=0.901027788351732 
* min_df= 2 , max_df= 0.25, alpha= 0.01, accuracy_train=0.9529068291444529, accuracy_val=0.8991244765892653 
* min_df= 2 , max_df= 0.25, alpha= 0.02, accuracy_train=0.9474485910129474, accuracy_val=0.9006471259992387 
* min_df= 2 , max_df= 0.25, alpha= 0.03, accuracy_train=0.9443598205974444, accuracy_val=0.901027788351732 
* min_df= 2 , max_df= 0.25, alpha= 0.04, accuracy_train=0.941990352881442, accuracy_val=0.9006471259992387 
